Tom Glavine, ,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Grady Jarrett,11111111,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Freddie Freeman,22222222,100.00,100.00,00.00,100.00,100.00,100.00,100.00,00.00,100.00,100.00,95.00,-1.00,90.00
Greg Maddux, ,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Dominique Wilkins,33333333,0.00,100.00,100.00,100.00,0.00,100.00,100.00,100.00,100.00,0.00,80.00,75.00,70.00
Chipper Jones,44444444,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-1.00
Greg Maddux, ,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Matt Ryan,66666666,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,-1.00,50.00,90.00
Trae Young,77777777,100.00,100.00,00.00,100.00,100.00,100.00,100.00,00.00,100.00,100.00,0.00,70.00,90.00
Kyle Pitts,88888888,0.00,100.00,00.00,100.00,100.00,100.00,100.00,00.00,100.00,0.00,40.00,70.00,90.00
John Smoltz,99999999,1aa.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
